img,num_corners,colorfulness,imdbId,Title,Poster,year,is_history,is_family,is_scifi,is_adult,is_crime,is_sport,is_short,is_war,is_western,is_biography,is_action,is_gameshow,is_animation,is_romance,is_music,is_documentary,is_comedy,is_thriller,is_talkshow,is_adventure,is_mystery,is_filmnoir,is_horror,is_musical,is_fantasy,is_realitytv,is_news,is_drama,decade
action_posters/all/00s/1205903.jpg,21,88.58614561628622,1205903,Bellini e o DemÌ«nio (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0MDkwMTk5MzVeQTJeQWpwZ15BbWU3MDE1MjU2Nzc@._V1_UX182_CR0,0,182,268_AL_.jpg",2008.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,00s
action_posters/all/00s/120912.jpg,93,8.078040021646629,120912,Men in Black II (2002),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_UX182_CR0,0,182,268_AL_.jpg",2002.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,00s
action_posters/all/00s/1232106.jpg,149,35.74279324633564,1232106,Mubangbi-dosi (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNzYzNjE5OV5BMl5BanBnXkFtZTgwMjgyNzE1MjE@._V1_UY268_CR3,0,182,268_AL_.jpg",2008.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,00s
action_posters/all/00s/1235827.jpg,99,90.24161955432947,1235827,"Boogie, el aceitoso (2009)","https://images-na.ssl-images-amazon.com/images/M/MV5BMzI3NjczODI2MV5BMl5BanBnXkFtZTgwMDA1Nzc1NDE@._V1_UY268_CR9,0,182,268_AL_.jpg",2009.0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,00s
action_posters/all/00s/1242422.jpg,65,32.163634408994874,1242422,Celda 211 (2009),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5NTQ2NTMyMV5BMl5BanBnXkFtZTcwNzA0MTcyOQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",2009.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,00s
action_posters/all/00s/1242527.jpg,203,63.979861727342026,1242527,Ved verdens ende (2009),"https://images-na.ssl-images-amazon.com/images/M/MV5BODk3YjBjNjEtMjNkYi00NWE5LTk4MDctYWQ2MWI5MDAyMmY2XkEyXkFqcGdeQXVyNDM0OTkxMzI@._V1_UY268_CR4,0,182,268_AL_.jpg",2009.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,00s
action_posters/all/00s/1262406.jpg,25,73.04400378059549,1262406,Fading of the Cries (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTQxMzQ2M15BMl5BanBnXkFtZTcwODc0ODA0Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg",2008.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,00s
action_posters/all/00s/1266027.jpg,131,46.976884834316806,1266027,The Marine 2 (2009),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MzYxMTgyN15BMl5BanBnXkFtZTcwMTIzODAxMw@@._V1_UY268_CR9,0,182,268_AL_.jpg",2009.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,00s
action_posters/all/00s/1286147.jpg,90,68.48178192245211,1286147,Ghost Machine (2009),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNzkxMjQ4Ml5BMl5BanBnXkFtZTgwOTk3MjA2MDE@._V1_UX182_CR0,0,182,268_AL_.jpg",2009.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,00s
action_posters/all/00s/1290400.jpg,111,45.37100990132189,1290400,Double Identity (2009),"https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ3MzM4MzA4NF5BMl5BanBnXkFtZTgwMjI4MjA2MDE@._V1_UY268_CR9,0,182,268_AL_.jpg",2009.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,00s
